variavel,importancia_media_auc,desvio_padrao
criptografia_ativa,0.05425340394665541,0.009785687798266282
perda_pacotes_pct,0.0421197979480187,0.015027489138440554
temperatura_c,0.03587995735234992,0.011295118904986218
tentativas_login_falhas,0.034390785311030646,0.0066648385420110265
latencia_ms,0.031055878908639558,0.010013448564320874
umidade_pct,0.030985964728295918,0.006208741372002505
idade_firmware_dias,0.019034135598552684,0.01928450264294558
trafego_saida_kbps,0.004030552496810081,0.002037029761483097
tipo_equipamento,0.0036180588327826557,0.001933825470016358
rede,0.0005208606435599321,0.0008764684358709953
protocolo,0.00037054515582112625,0.004200591507681076
consumo_cpu_pct,-0.002744131578487504,0.0020206589097508687
